,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
262,No Namers,Vera,chamber,sentinel,0.2,37,293.0,1.56,191.0,0.68,1.05,0.08,0.19,0.05,39,25,3,7,2,1524
263,FOKUS,JUGi,jett,duelist,0.6,61,241.7,1.02,145.8,0.66,0.82,0.20,0.23,0.21,50,49,12,14,13,1618
264,FOKUS,JUGi,reyna,duelist,0.2,20,182.0,0.87,109.4,0.55,0.65,0.10,0.10,0.20,13,15,2,2,4,1618
265,FOKUS,JUGi,neon,duelist,0.2,32,353.0,2.28,206.3,0.91,1.28,0.19,0.22,0.09,41,18,6,7,3,1618
266,OnlyFins,rEplan,chamber,sentinel,0.633,403,243.1,1.23,152.5,0.71,0.85,0.20,0.19,0.15,342,278,80,77,61,1426
267,OnlyFins,rEplan,raze,duelist,0.36700000000000005,233,285.5,1.34,187.1,0.75,0.94,0.27,0.16,0.14,219,163,64,37,33,1426
268,Evil Geniuses,jawgemo,jett,duelist,0.5,132,256.0,1.18,160.1,0.73,0.89,0.18,0.17,0.17,117,99,24,23,23,1879
269,Evil Geniuses,jawgemo,raze,duelist,0.41700000000000004,101,258.6,1.12,167.1,0.75,0.82,0.26,0.12,0.26,83,74,26,12,26,1879
270,Evil Geniuses,jawgemo,kayo,initiator,0.083,24,194.0,0.94,121.8,0.79,0.67,0.67,0.08,0.00,16,17,16,2,0,1879
271,n/a,paris,chamber,sentinel,0.667,52,260.5,1.47,168.5,0.73,0.96,0.15,0.21,0.12,50,34,8,11,6,n/a
272,n/a,paris,breach,initiator,0.33299999999999996,23,234.0,1.12,157.3,0.87,0.83,0.35,0.04,0.04,19,17,8,1,1,n/a
273,Team Queso,xuss,jett,duelist,0.5329999999999999,160,285.5,1.46,179.7,0.77,1.03,0.12,0.20,0.11,164,112,19,32,18,1470
274,Team Queso,xuss,raze,duelist,0.33299999999999996,92,234.6,1.08,153.4,0.68,0.76,0.23,0.16,0.15,70,65,21,15,14,1470
275,Team Queso,xuss,neon,duelist,0.067,26,211.0,0.90,135.5,0.58,0.73,0.19,0.12,0.31,19,21,5,3,8,1470
276,Team Queso,xuss,reyna,duelist,0.067,18,114.0,0.29,81.5,0.61,0.28,0.11,0.11,0.11,5,17,2,2,2,1470
277,The Ultimates,Winteryrook,kayo,initiator,0.5479999999999999,356,243.6,1.17,149.8,0.74,0.84,0.39,0.12,0.13,298,254,139,43,48,1791
278,The Ultimates,Winteryrook,killjoy,sentinel,0.19399999999999998,142,291.0,1.40,186.4,0.73,1.01,0.14,0.17,0.14,144,103,20,24,20,1791
