matchId,puuid,tier,champion
JP1_366342094,f_9-SUQMAGD16csjoQZCsLXlrBMkMc8LbM_1hZBuE6rVmmNkFvjuzollUdflWpTaC2ceRRPpG5Aiyw,IRON,Udyr
JP1_366330752,f_9-SUQMAGD16csjoQZCsLXlrBMkMc8LbM_1hZBuE6rVmmNkFvjuzollUdflWpTaC2ceRRPpG5Aiyw,IRON,Vi
JP1_366319289,f_9-SUQMAGD16csjoQZCsLXlrBMkMc8LbM_1hZBuE6rVmmNkFvjuzollUdflWpTaC2ceRRPpG5Aiyw,IRON,Master Yi
JP1_366385771,pcljVtAx610Dx3FE_FpUy6wbxmAzstzsRWEoTqh1pixqYPLoLfJ95zxPNMJn5ehtQIWKZZwyu2yFLg,IRON,Tristana
JP1_366375165,pcljVtAx610Dx3FE_FpUy6wbxmAzstzsRWEoTqh1pixqYPLoLfJ95zxPNMJn5ehtQIWKZZwyu2yFLg,IRON,Talon
JP1_366314219,pcljVtAx610Dx3FE_FpUy6wbxmAzstzsRWEoTqh1pixqYPLoLfJ95zxPNMJn5ehtQIWKZZwyu2yFLg,IRON,Rammus
JP1_344716650,42Y5niOGu_FNngyeugF2BVPxZZmYrmA3uqN48v8O96_OAkUqq-sO32lq-d71kK1SWvGluwoFsvUmUQ,IRON,Poppy
JP1_344714056,42Y5niOGu_FNngyeugF2BVPxZZmYrmA3uqN48v8O96_OAkUqq-sO32lq-d71kK1SWvGluwoFsvUmUQ,IRON,Nautilus
JP1_344732845,42Y5niOGu_FNngyeugF2BVPxZZmYrmA3uqN48v8O96_OAkUqq-sO32lq-d71kK1SWvGluwoFsvUmUQ,IRON,Poppy
JP1_344284504,LS1ZTABXOx3PasWyaLkXVG1Q_NlDY0Tbn0iiFrrWhpUuYO8eia6O0Xg4bddxYiZn0Jr_7cinrLcYMw,IRON,Janna
JP1_343957108,LS1ZTABXOx3PasWyaLkXVG1Q_NlDY0Tbn0iiFrrWhpUuYO8eia6O0Xg4bddxYiZn0Jr_7cinrLcYMw,IRON,Garen
JP1_343730678,LS1ZTABXOx3PasWyaLkXVG1Q_NlDY0Tbn0iiFrrWhpUuYO8eia6O0Xg4bddxYiZn0Jr_7cinrLcYMw,IRON,Nasus
JP1_362462596,F2JFM2_7rtI1spKfdleQ24tmUpYaXaIlJ0OG8w2SmN_zEyQEWWIoiT-DFtF0bQfbfGuh0lOAmElEiA,IRON,Ornn
JP1_362400821,F2JFM2_7rtI1spKfdleQ24tmUpYaXaIlJ0OG8w2SmN_zEyQEWWIoiT-DFtF0bQfbfGuh0lOAmElEiA,IRON,Ornn
JP1_362389272,F2JFM2_7rtI1spKfdleQ24tmUpYaXaIlJ0OG8w2SmN_zEyQEWWIoiT-DFtF0bQfbfGuh0lOAmElEiA,IRON,Miss Fortune
JP1_352656874,NbsNihu0ObP9dBscaIcI1jutia-UvHo2gpPWadRreIcdb4EQbUF4exwuQypTozNVTDcGUN9x4pRvkA,IRON,Senna
JP1_352447711,NbsNihu0ObP9dBscaIcI1jutia-UvHo2gpPWadRreIcdb4EQbUF4exwuQypTozNVTDcGUN9x4pRvkA,IRON,Senna
JP1_352313842,NbsNihu0ObP9dBscaIcI1jutia-UvHo2gpPWadRreIcdb4EQbUF4exwuQypTozNVTDcGUN9x4pRvkA,IRON,Senna
JP1_363987892,BrK8YHs_Uj5M00hIWpYBmrCGM8DfSkHMZrjYoXmPTJHToEP62Ca7Xpvnm5GwajGs1imP9WIIq3Q7ZQ,IRON,Darius
JP1_364006633,BrK8YHs_Uj5M00hIWpYBmrCGM8DfSkHMZrjYoXmPTJHToEP62Ca7Xpvnm5GwajGs1imP9WIIq3Q7ZQ,IRON,Darius
JP1_363986101,BrK8YHs_Uj5M00hIWpYBmrCGM8DfSkHMZrjYoXmPTJHToEP62Ca7Xpvnm5GwajGs1imP9WIIq3Q7ZQ,IRON,Darius
JP1_360484867,MliTzC9pFOr5i_xVoz8DLFNnqOVsQ6pxiUT2BUvp6ERmSijoOgTq-tA4_Vo3wQ2i2RE_wmNzP6Gvug,IRON,Hecarim
JP1_360484646,MliTzC9pFOr5i_xVoz8DLFNnqOVsQ6pxiUT2BUvp6ERmSijoOgTq-tA4_Vo3wQ2i2RE_wmNzP6Gvug,IRON,Diana
JP1_358373694,MliTzC9pFOr5i_xVoz8DLFNnqOVsQ6pxiUT2BUvp6ERmSijoOgTq-tA4_Vo3wQ2i2RE_wmNzP6Gvug,IRON,Diana
JP1_345322004,9i12agYDcIg7JT60kczhY4xOi7Uicv6w6inH37u_l-hm4WnW_DPAdidgNrfpacnhISutlcowo4T1hw,IRON,Veigar
JP1_345320890,9i12agYDcIg7JT60kczhY4xOi7Uicv6w6inH37u_l-hm4WnW_DPAdidgNrfpacnhISutlcowo4T1hw,IRON,Malphite
JP1_345309657,9i12agYDcIg7JT60kczhY4xOi7Uicv6w6inH37u_l-hm4WnW_DPAdidgNrfpacnhISutlcowo4T1hw,IRON,Veigar
JP1_363044044,wG9BsJ8w58Lv_P31o_7iOANi2uQTyd1nogeEKOhe_VjSul6OqZBCmXuaQM-jx9pO2AK8GH8x4kRZ4w,IRON,Anivia
JP1_362755240,wG9BsJ8w58Lv_P31o_7iOANi2uQTyd1nogeEKOhe_VjSul6OqZBCmXuaQM-jx9pO2AK8GH8x4kRZ4w,IRON,Sion
JP1_362669299,wG9BsJ8w58Lv_P31o_7iOANi2uQTyd1nogeEKOhe_VjSul6OqZBCmXuaQM-jx9pO2AK8GH8x4kRZ4w,IRON,Kog'Maw
JP1_347924610,ObOJcGH8fNMROpPX8JYUD9V1vuQ37rcAibmIZohDGFUiR_8R9vCFANfdC7kVgI6ChWx52YbF1nW6Fg,IRON,Caitlyn
JP1_347891422,ObOJcGH8fNMROpPX8JYUD9V1vuQ37rcAibmIZohDGFUiR_8R9vCFANfdC7kVgI6ChWx52YbF1nW6Fg,IRON,Master Yi
JP1_347813976,ObOJcGH8fNMROpPX8JYUD9V1vuQ37rcAibmIZohDGFUiR_8R9vCFANfdC7kVgI6ChWx52YbF1nW6Fg,IRON,Caitlyn
JP1_359428169,QPU-hFu_HX69_dLypuPBZJ2uyy-TpcHfWJdQiv3-qTkyZ0Ixm8WxG-lUZL2t9YFSFQ29-XhOQkSh0g,IRON,Jhin
JP1_358980324,QPU-hFu_HX69_dLypuPBZJ2uyy-TpcHfWJdQiv3-qTkyZ0Ixm8WxG-lUZL2t9YFSFQ29-XhOQkSh0g,IRON,Xerath
JP1_358566896,QPU-hFu_HX69_dLypuPBZJ2uyy-TpcHfWJdQiv3-qTkyZ0Ixm8WxG-lUZL2t9YFSFQ29-XhOQkSh0g,IRON,Xerath
JP1_363941906,camcJdJo9WxsMS8RS9DxHlifjI82lgbnnD_r4tckcDcUln_v1yq7KSnzObYhDYX1H4-xYPtVLaINLQ,IRON,Garen
JP1_358522141,camcJdJo9WxsMS8RS9DxHlifjI82lgbnnD_r4tckcDcUln_v1yq7KSnzObYhDYX1H4-xYPtVLaINLQ,IRON,Senna
JP1_355447421,camcJdJo9WxsMS8RS9DxHlifjI82lgbnnD_r4tckcDcUln_v1yq7KSnzObYhDYX1H4-xYPtVLaINLQ,IRON,Vayne
JP1_350435061,QXWPX5FvuCRRUMYp7uLcir3Epa1qsFo3MEal4JaNSnU8gcaqefhVXeDY_616rDcFrxcrClXECUG5Uw,IRON,Miss Fortune
JP1_350202823,QXWPX5FvuCRRUMYp7uLcir3Epa1qsFo3MEal4JaNSnU8gcaqefhVXeDY_616rDcFrxcrClXECUG5Uw,IRON,Camille
JP1_350201783,QXWPX5FvuCRRUMYp7uLcir3Epa1qsFo3MEal4JaNSnU8gcaqefhVXeDY_616rDcFrxcrClXECUG5Uw,IRON,Jhin
JP1_366179101,uqGM4TBCkIYRqdf70zzXzzsgyINDKxmJ-Uj1b778CkDEADkAKrA6awyf-fI3cdZ1a7vTKBNeXhkrhw,IRON,Varus
JP1_365859257,uqGM4TBCkIYRqdf70zzXzzsgyINDKxmJ-Uj1b778CkDEADkAKrA6awyf-fI3cdZ1a7vTKBNeXhkrhw,IRON,Varus
JP1_363310163,uqGM4TBCkIYRqdf70zzXzzsgyINDKxmJ-Uj1b778CkDEADkAKrA6awyf-fI3cdZ1a7vTKBNeXhkrhw,IRON,Varus
JP1_366349176,Hzxr_jd9tXKQSc6nN73bsfdTsftF6_j9RK5Zcr7uLnLRUjdY8T8SeaJY3gxRedTCnAY0M0zsf2Altg,IRON,Samira
JP1_366337026,Hzxr_jd9tXKQSc6nN73bsfdTsftF6_j9RK5Zcr7uLnLRUjdY8T8SeaJY3gxRedTCnAY0M0zsf2Altg,IRON,Samira
JP1_366334881,Hzxr_jd9tXKQSc6nN73bsfdTsftF6_j9RK5Zcr7uLnLRUjdY8T8SeaJY3gxRedTCnAY0M0zsf2Altg,IRON,Nilah
JP1_345322420,-h_12ZQA0LorocAvOt6a_7lZ6qtEsohZg_FLP8Pyv7CEhqU4ZyIcsD0UmijEdpo6V7hJCrwEPxagBg,IRON,Jhin
JP1_344414943,-h_12ZQA0LorocAvOt6a_7lZ6qtEsohZg_FLP8Pyv7CEhqU4ZyIcsD0UmijEdpo6V7hJCrwEPxagBg,IRON,Jhin
JP1_344037578,-h_12ZQA0LorocAvOt6a_7lZ6qtEsohZg_FLP8Pyv7CEhqU4ZyIcsD0UmijEdpo6V7hJCrwEPxagBg,IRON,Jhin
JP1_361068016,dhEGqis2bDuNdTWd2pl-I7VfgzWajcnRBGKPVpJiJ3O0tlmkwWawFALGLHcirCN8AbISZ7jT3_shPw,IRON,Shen
